signal_date,execution_date,pre_trade_nav,end_nav,total_cost,buy_scale,attempted_order_count,executed_order_count,blocked_order_count,replacement_buy_count
2024-01-02,2024-01-03,1.0,0.9994003597841296,0.000599640215870476,0.9994003597841296,100,100,0,0
2024-01-03,2024-01-04,1.001051026534561,1.0002731574304982,0.0007778691040627161,1.0,92,91,1,0
2024-01-04,2024-01-05,0.9966884513948658,0.9958565585780599,0.0008318928168063245,1.0,99,98,1,0
2024-01-05,2024-01-08,0.9815629930959302,0.9811534924878611,0.00040950060806892034,1.0,49,49,0,0
2024-01-08,2024-01-09,0.9583347586900286,0.9578948721802462,0.00043988650978242435,1.0,54,54,0,0
2024-01-09,2024-01-10,0.9566602263915439,0.9563497312306929,0.00031049516085097234,1.0,38,38,0,0
2024-01-10,2024-01-11,0.9553673332211597,0.9548597673264655,0.0005075658946941547,1.0,62,62,0,0
2024-01-11,2024-01-12,0.9712780254906078,0.9707664705461553,0.000511554944452748,1.0,62,62,0,0
2024-01-12,2024-01-15,0.9665113980260294,0.9661961223650284,0.0003152756610009337,1.0,38,38,0,0
2024-01-15,2024-01-16,0.9650715004770799,0.9646126065251636,0.0004588939519163153,1.0,56,56,0,0
2024-01-16,2024-01-17,0.9589669383998476,0.9585748454646106,0.00039209293523705596,1.0,48,48,0,0
2024-01-17,2024-01-18,0.932796767621412,0.9324135956421776,0.00038317197923440436,1.0,48,48,0,0
2024-01-18,2024-01-19,0.9263986460450068,0.926115320937954,0.00028332510705275985,1.0,36,36,0,0
2024-01-19,2024-01-22,0.9143961653046233,0.9141930192805982,0.00020314602402507148,1.0,26,26,0,0
2024-01-22,2024-01-23,0.8570214398366914,0.8563809840488008,0.0006404557878907149,1.0,88,88,0,0
2024-01-23,2024-01-24,0.8716521491841585,0.8713274711573412,0.0003246780268172742,1.0,44,44,0,0
2024-01-24,2024-01-25,0.8745305231271275,0.87427712110777,0.0002534020193575405,1.0,34,34,0,0
2024-01-25,2024-01-26,0.9029438280181344,0.9022700798453916,0.0006737481727427577,1.0,88,88,0,0
2024-01-26,2024-01-29,0.8997458753284394,0.8993153185597367,0.00043055676870284434,1.0,56,56,0,0
2024-01-29,2024-01-30,0.8695309894056555,0.8688051944207388,0.0007257949849170801,1.0,98,98,0,0
2024-01-30,2024-01-31,0.8426829363709488,0.8424243664216648,0.0002585699492840208,1.0,36,36,0,0
2024-01-31,2024-02-01,0.8031557727862039,0.8027613651009256,0.00039440768527811403,1.0,58,58,0,0
2024-02-01,2024-02-02,0.8053190952491491,0.804963556303952,0.0003555389451973167,1.0,52,52,0,0
2024-02-02,2024-02-05,0.7598411084790928,0.759569087034798,0.00027202144429486295,1.0,42,42,0,0
2024-02-05,2024-02-06,0.7038621354902452,0.7035002653048102,0.0003618701854350906,1.0,60,60,0,0
2024-02-06,2024-02-07,0.7769559044365647,0.7765009486166691,0.0004549558198956391,1.0,68,68,0,0
2024-02-07,2024-02-08,0.8180023938975429,0.8175286653902275,0.00047372850731556095,1.0,68,68,0,0
2024-02-08,2024-02-19,0.8739667528708804,0.8734022111451794,0.0005645417257008295,1.0,76,76,0,0
2024-02-19,2024-02-20,0.8630097782056932,0.8625133254299457,0.0004964527757477736,1.0,68,68,0,0
2024-02-20,2024-02-21,0.8642985105118489,0.8638584605973006,0.0004400499145481576,1.0,60,60,0,0
2024-02-21,2024-02-22,0.8754446343437138,0.8750729710628127,0.0003716632809010507,1.0,50,50,0,0
2024-02-22,2024-02-23,0.890508140221942,0.8900213443070275,0.0004867959149145016,1.0,64,64,0,0
2024-02-23,2024-02-26,0.9020161734826667,0.9015560212373299,0.0004601522453368966,1.0,60,60,0,0
2024-02-26,2024-02-27,0.9038783014043626,0.9028846277253986,0.0009936736789642121,1.0,130,130,0,0
2024-02-27,2024-02-28,0.9264183656317665,0.9257424455271244,0.0006759201046421391,1.0,86,86,0,0
2024-02-28,2024-02-29,0.8897366298191556,0.8892832689967058,0.0004533608224497848,1.0,60,60,0,0
